magaza,magaza_tipi,tedarikci,tipik_gunluk_talep_adet,stok_toplam_adet,kalan_raf_omru_gun,stok_gun_karsiligi,tukenme_gun_taban_p50,fire_taban_p50,stoksuz_taban_p50,kacan_kar_taban_p50,tukenme_gun_taban_p90,fire_taban_p90,stoksuz_taban_p90,kacan_kar_taban_p90,tukenme_gun_politika_p50,fire_politika_p50,stoksuz_politika_p50,kacan_kar_politika_p50,tukenme_gun_politika_p10,fire_politika_p10,stoksuz_politika_p10,kacan_kar_politika_p10,tukenme_gun_politika_p90,fire_politika_p90,stoksuz_politika_p90,kacan_kar_politika_p90,siparis_toplam,siparis_sayisi,net_kazanc_eur,aciliyet,onay_kritik_stok,onay_fire_riski,onay_belirsiz,max_siparis_tutar_eur,onay_yuksek_tutar,onay_gerekli,onay_sebep
285,a,ExpressLog,124.7,63.9,1,0.51,1,0.0,3241.2,6482.0,1,0.0,3696.2,7392.2,1,0.0,290.9,581.5,1,0.0,56.2,112.4,1,0.0,746.1,1491.7,2950.4,23,5900.5,kritik,1,0,0,996.6,0,1,kritik_stok
286,a,Schnellware,114.4,182.2,1,1.59,4,25.6,2466.8,4933.7,3,0.0,2917.7,5835.4,4,25.6,254.2,508.2,4,146.8,63.4,126.9,4,0.0,690.2,1380.5,2212.8,12,4425.5,yuksek,0,1,0,1686.6,0,1,fire_riski
287,c,Schnellware,200.1,516.9,1,2.58,4,120.1,4436.3,8873.0,4,67.9,4912.5,9824.4,4,120.1,297.7,595.4,4,290.4,195.5,391.2,4,67.9,742.0,1483.9,4138.7,12,8277.6,normal,0,0,0,2808.6,0,0,yok
288,d,ExpressLog,135.3,405.9,2,3.0,4,156.5,3149.3,6298.3,4,111.8,3588.2,7175.6,4,156.5,213.8,427.5,0,194.1,0.0,0.0,4,111.8,652.3,1304.7,2935.5,22,5870.8,normal,0,0,0,1216.2,0,0,yok
289,d,ExpressLog,154.4,260.5,1,1.69,3,0.0,3442.8,6885.3,3,0.0,3868.3,7736.4,3,0.0,198.3,396.6,0,11.8,0.0,0.0,3,0.0,602.1,1204.3,3244.3,23,6488.7,yuksek,0,1,0,1246.8,0,1,fire_riski
290,a,Schnellware,166.5,329.8,1,1.98,4,34.2,3835.0,7670.2,3,0.0,4323.6,8647.3,4,34.2,257.9,515.8,4,186.0,86.2,172.4,4,0.0,720.7,1441.4,3577.3,12,7154.4,yuksek,0,0,0,2655.6,0,0,yok
291,d,Schnellware,190.7,105.0,1,0.55,1,0.0,4514.6,9029.1,1,0.0,5108.4,10217.3,1,0.0,269.0,538.0,1,126.2,38.8,77.6,1,0.0,863.1,1726.2,4245.7,12,8491.1,kritik,1,1,0,2970.0,0,1,kritik_stok|fire_riski
292,a,Schnellware,137.1,411.2,1,3.0,4,119.8,551.9,1103.6,4,61.8,623.0,1246.0,4,119.8,331.1,662.1,4,166.9,262.0,523.9,4,61.8,397.6,795.3,220.6,3,441.5,normal,0,1,0,541.8,0,1,fire_riski
293,c,Schnellware,151.6,336.0,3,2.22,4,71.2,3360.4,6720.3,4,36.9,3730.1,7460.4,4,71.2,240.2,480.4,4,189.1,110.1,220.1,4,36.9,592.0,1184.4,3120.1,12,6239.9,normal,0,0,0,2330.4,0,0,yok
294,a,Schnellware,136.8,77.9,1,0.57,1,0.0,3595.5,7191.3,1,0.0,4029.9,8059.5,1,0.0,193.8,387.4,1,92.8,26.2,52.4,1,0.0,627.8,1255.6,3401.9,12,6803.9,kritik,1,0,0,2361.6,0,1,kritik_stok
295,a,Rheinland,126.4,83.8,2,0.66,1,0.0,3358.1,6716.5,1,0.0,3825.3,7650.2,1,27.8,858.6,1717.5,1,145.6,611.5,1223.0,1,0.0,1297.8,2595.6,2527.3,8,4832.2,kritik,1,0,0,2212.8,0,1,kritik_stok
296,a,ExpressLog,167.9,503.7,1,3.0,4,210.7,3845.6,7691.1,4,174.2,4233.5,8467.1,4,210.7,194.4,388.5,0,242.3,0.0,0.0,4,174.2,582.2,1164.5,3651.2,22,7302.6,normal,0,0,0,1450.2,0,0,yok
297,a,Schnellware,168.2,406.9,1,2.42,4,117.6,3864.4,7729.1,4,78.5,4278.4,8556.9,4,117.6,299.7,599.7,4,247.8,157.0,313.9,4,78.5,692.2,1384.4,3565.1,12,7129.4,normal,0,0,0,2670.6,0,0,yok
298,d,Rheinland,204.2,104.9,2,0.51,1,0.0,5112.4,10224.7,1,0.0,5792.1,11584.2,1,0.0,1367.1,2734.7,1,105.4,948.4,1896.7,1,0.0,2047.1,4094.2,3745.0,8,7490.0,kritik,1,0,0,3354.0,0,1,kritik_stok
299,d,Schnellware,143.5,28.7,1,0.2,1,0.0,5393.3,10786.9,1,0.0,6885.0,13769.9,1,0.0,746.5,1493.1,1,342.3,298.2,596.5,1,0.0,2238.0,4476.1,4646.8,12,9293.8,kritik,1,0,0,3063.6,0,1,kritik_stok
300,a,Nordmann,171.7,507.2,1,2.95,4,145.9,4204.1,8408.4,4,95.8,4706.5,9412.6,4,145.9,534.3,1068.7,4,306.7,291.0,582.3,4,95.8,1036.4,2072.9,3670.0,17,7339.7,normal,0,0,0,2239.8,0,0,yok
301,a,Rheinland,135.7,259.3,2,1.91,3,141.1,3125.8,6251.5,3,124.7,3435.6,6870.6,3,153.4,745.3,1490.9,3,217.2,575.4,1151.0,3,124.7,1032.1,2064.2,2392.7,8,4686.8,yuksek,0,0,0,2085.6,0,0,yok
302,d,Nordmann,89.5,50.3,1,0.56,1,0.0,2210.4,4421.1,1,0.0,2560.3,5120.8,1,0.0,389.0,777.8,1,71.1,221.4,442.7,1,0.0,738.7,1477.5,1821.8,17,3643.3,kritik,1,0,0,1177.2,0,1,kritik_stok
303,a,ExpressLog,148.6,445.9,1,3.0,4,188.9,3288.1,6576.4,4,152.5,3687.8,7375.5,4,188.9,201.1,402.3,0,219.1,0.0,0.0,4,152.5,600.6,1201.4,3087.3,22,6174.1,normal,0,0,0,1285.8,0,0,yok
304,a,Schnellware,171.7,169.4,1,0.99,3,0.0,3993.2,7986.3,3,0.0,4511.0,9022.0,4,0.0,181.3,362.5,11,104.7,32.7,65.5,4,0.0,676.2,1352.2,3811.9,12,7623.8,yuksek,0,0,0,2676.0,0,0,yok
305,c,Schnellware,125.5,194.1,3,1.55,3,0.0,3488.5,6977.0,3,0.0,4072.6,8145.3,4,0.0,197.0,393.9,11,123.7,36.5,73.0,4,0.0,746.3,1492.3,3291.5,12,6583.1,yuksek,0,0,0,2287.8,0,0,yok
306,a,Schnellware,105.1,65.4,1,0.62,1,0.0,2667.6,5335.1,1,0.0,2993.1,5986.2,1,0.0,137.9,276.4,1,72.3,36.4,72.8,1,0.0,463.8,927.5,2529.2,12,5058.7,kritik,1,0,0,1726.8,0,1,kritik_stok
307,a,Schnellware,62.6,82.4,1,1.32,3,0.0,1490.6,2981.6,3,0.0,1740.9,3481.5,4,0.0,111.6,223.5,11,49.9,18.2,36.3,4,0.0,351.6,703.3,1379.1,12,2758.1,yuksek,0,0,0,1011.6,0,0,yok
308,a,ExpressLog,226.1,299.6,1,1.33,3,115.3,5017.2,10034.5,3,84.9,5658.9,11317.7,3,115.3,320.7,641.4,0,142.4,0.0,0.0,3,84.9,962.6,1924.7,4696.8,23,9393.1,yuksek,0,1,0,1894.8,0,1,fire_riski
309,d,Schnellware,167.7,503.1,1,3.0,4,208.6,3713.9,7428.2,4,167.2,4143.7,8287.3,4,208.6,323.3,646.2,4,345.7,151.6,303.2,4,167.2,752.8,1505.3,3391.2,11,6782.0,normal,0,0,0,2577.0,0,0,yok
310,a,Nordmann,183.8,527.9,1,2.87,4,50.7,5256.9,10514.0,3,0.0,6599.7,13199.6,4,50.7,860.3,1720.6,4,451.1,322.8,645.7,3,0.0,2203.0,4406.1,4396.8,17,8793.4,yuksek,0,1,0,2827.2,0,1,fire_riski
311,a,Schnellware,161.4,484.1,1,3.0,4,177.0,3710.8,7421.4,4,140.7,4070.7,8141.2,4,177.0,277.0,554.2,4,293.3,161.7,323.6,4,140.7,637.0,1274.0,3433.6,11,6867.2,normal,0,1,0,2548.2,0,1,fire_riski
312,d,Schnellware,133.9,303.7,3,2.27,4,68.6,3099.5,6198.8,4,35.4,3463.3,6927.0,4,68.6,227.9,455.5,4,179.9,104.5,209.2,4,35.4,573.4,1147.1,2871.8,12,5743.3,normal,0,0,0,2143.8,0,0,yok
313,d,Schnellware,168.8,405.7,3,2.4,4,121.9,3787.6,7575.0,4,74.7,4303.3,8606.4,4,121.9,344.6,688.9,4,273.0,160.8,321.5,4,74.7,835.0,1670.0,3443.2,12,6886.1,normal,0,0,0,2617.2,0,0,yok
314,a,Rheinland,123.7,142.4,2,1.15,3,51.6,2857.7,5715.3,3,36.3,3192.0,6384.0,3,91.8,683.5,1367.1,3,214.2,534.2,1068.6,3,36.3,977.8,1955.3,2214.3,8,4107.0,yuksek,0,0,0,1895.4,0,0,yok
315,a,Rheinland,101.8,101.5,2,1.0,3,24.5,2547.6,5095.6,3,6.2,2920.6,5841.1,3,55.9,607.7,1215.5,3,180.7,447.7,895.3,3,6.2,949.1,1898.1,1971.4,8,3691.7,yuksek,0,0,0,1687.2,0,0,yok
316,d,Schnellware,238.0,255.9,1,1.08,3,0.0,5560.7,11121.3,1,0.0,6230.5,12461.1,4,0.0,268.4,536.6,11,145.4,39.3,78.5,1,0.0,922.3,1844.4,5292.4,12,10584.7,kritik,1,0,1,3739.2,0,1,kritik_stok|belirsiz
317,d,Schnellware,130.4,257.5,1,1.97,3,0.0,2946.8,5893.9,3,0.0,3396.0,6791.8,4,0.0,149.2,298.3,4,137.3,62.9,125.9,4,0.0,570.3,1140.6,2797.6,12,5595.6,yuksek,0,0,0,1831.2,0,0,yok
318,d,Rheinland,181.1,68.0,2,0.38,1,0.0,4256.3,8512.5,1,0.0,4800.6,9601.2,1,27.7,1074.5,2149.2,1,162.3,798.1,1596.2,1,0.0,1591.4,3182.5,3209.2,8,6197.1,kritik,1,0,0,2779.8,0,1,kritik_stok
319,a,Schnellware,190.3,570.9,1,3.0,4,232.0,4220.6,8441.3,4,184.8,4721.0,9442.2,4,232.0,338.5,677.0,4,382.9,195.1,390.5,4,184.8,838.9,1678.0,3882.1,11,7764.3,normal,0,1,0,2730.0,0,1,fire_riski
320,a,ExpressLog,361.3,221.3,2,0.61,1,0.0,8340.9,16682.1,1,0.0,9328.8,18657.6,1,0.0,545.4,1091.1,1,0.0,45.7,91.4,1,0.0,1533.3,3066.5,7795.7,23,15591.0,kritik,1,0,0,2862.0,0,1,kritik_stok
321,c,Schnellware,144.1,369.2,1,2.56,4,91.6,3265.9,6531.8,4,45.2,3728.1,7456.0,4,91.6,260.1,520.3,4,236.5,140.9,281.7,4,45.2,694.4,1389.0,3005.6,12,6011.5,normal,0,0,0,2122.8,0,0,yok
322,a,Schnellware,113.8,156.9,1,1.38,3,0.0,2821.7,5643.9,3,0.0,3277.5,6555.0,4,0.0,225.8,451.5,11,97.6,40.8,81.7,4,0.0,662.6,1324.9,2596.2,12,5192.4,yuksek,0,0,0,1915.2,0,0,yok
323,d,Schnellware,179.5,433.6,1,2.41,4,66.8,4157.0,8314.0,4,19.7,4601.9,9203.7,4,66.8,233.1,466.7,4,215.8,128.1,256.3,4,19.7,650.6,1301.3,3923.6,12,7847.3,normal,0,0,0,2655.0,0,0,yok
324,a,Schnellware,129.5,360.9,1,2.79,4,161.6,3017.2,6034.3,4,121.7,3499.3,6998.3,4,161.6,377.1,753.8,4,299.4,159.2,318.3,4,121.7,859.0,1717.8,2640.3,11,5280.5,normal,0,1,0,2067.6,0,1,fire_riski
325,a,Schnellware,157.1,265.0,3,1.69,3,0.0,3404.3,6808.6,3,0.0,3919.5,7839.5,4,0.0,173.0,346.0,4,139.7,53.7,107.5,4,0.0,666.7,1333.7,3231.4,12,6462.6,yuksek,0,0,0,2348.4,0,0,yok
326,d,Schnellware,120.2,320.6,1,2.67,4,53.5,2982.2,5965.1,4,7.6,3401.1,6802.6,4,53.5,209.5,418.7,4,196.5,116.9,233.7,4,7.6,599.4,1199.0,2773.2,12,5546.4,normal,0,1,0,1872.0,0,1,fire_riski
327,c,ExpressLog,187.6,116.7,1,0.62,1,0.0,4427.0,8854.2,1,0.0,4991.1,9982.1,1,0.0,307.0,613.9,1,0.0,22.1,44.2,1,0.0,870.9,1741.8,4120.2,23,8240.3,kritik,1,0,0,1554.0,0,1,kritik_stok
328,a,Schnellware,106.4,31.0,1,0.29,1,0.0,2572.7,5145.3,1,0.0,2881.4,5762.5,1,0.0,158.1,316.3,1,70.0,59.8,119.7,1,0.0,466.9,933.6,2414.5,12,4829.0,kritik,1,0,0,1674.0,0,1,kritik_stok
329,a,Schnellware,165.0,33.0,1,0.2,1,0.0,3928.7,7856.8,1,0.0,4451.3,8902.1,1,0.0,286.2,572.4,1,109.0,103.8,207.7,1,0.0,808.8,1617.7,3642.1,12,7284.4,kritik,1,0,0,2546.4,0,1,kritik_stok
330,a,Schnellware,101.1,71.2,3,0.7,1,0.0,2350.9,4702.1,1,0.0,2705.1,5410.3,1,0.0,149.8,299.6,1,73.1,41.7,83.3,1,0.0,504.0,1007.8,2201.2,12,4402.5,kritik,1,0,0,1518.0,0,1,kritik_stok
331,a,Schnellware,149.0,404.1,1,2.71,4,162.2,3147.1,6294.2,4,128.8,3521.4,7043.1,4,162.2,273.4,547.0,4,284.5,146.1,292.1,4,128.8,647.9,1295.8,2873.5,11,5747.2,normal,0,1,0,2178.6,0,1,fire_riski
332,a,Rheinland,86.9,109.5,2,1.26,3,56.8,2118.6,4237.0,3,43.1,2397.7,4795.8,3,110.4,509.9,1019.8,3,231.7,404.1,808.2,3,53.0,745.6,1491.1,1662.1,8,2895.6,yuksek,0,0,0,1395.6,0,0,yok
333,a,Schnellware,238.6,151.8,1,0.64,1,0.0,5676.8,11353.8,1,0.0,6293.6,12587.2,1,0.0,271.9,543.7,1,130.3,75.8,151.5,1,0.0,888.5,1777.2,5405.1,12,10810.1,kritik,1,0,0,3721.8,0,1,kritik_stok
334,d,Rheinland,133.0,32.3,2,0.24,1,0.0,3058.7,6117.6,1,0.0,3410.8,6822.0,1,5.0,791.7,1583.3,1,77.1,602.5,1204.8,1,0.0,1138.9,2277.8,2272.2,8,4504.3,kritik,1,0,0,1987.2,0,1,kritik_stok
335,b,Schnellware,310.4,548.5,3,1.77,3,0.0,8706.6,17413.0,2,0.0,10137.5,20274.3,4,0.0,464.1,928.3,18,338.1,25.8,51.6,2,0.0,1834.0,3668.0,8242.4,12,16484.7,yuksek,0,0,0,5949.6,1,1,yuksek_tutar
336,a,ExpressLog,339.0,273.4,1,0.81,1,0.0,7912.8,15825.7,1,0.0,8704.4,17408.8,1,0.0,389.4,778.6,0,0.0,0.0,0.0,1,0.0,1180.7,2361.8,7523.3,23,15047.1,kritik,1,0,1,2798.4,0,1,kritik_stok|belirsiz
337,d,Schnellware,122.2,118.3,1,0.97,1,0.0,2966.9,5933.4,1,0.0,3406.1,6812.2,1,0.0,165.5,330.8,11,99.1,44.2,88.5,1,0.0,604.9,1209.6,2801.4,12,5602.6,kritik,1,0,1,1716.6,0,1,kritik_stok|belirsiz
338,a,Nordmann,176.0,528.0,1,3.0,4,225.1,3873.2,7746.7,4,185.5,4309.8,8619.4,4,225.1,477.5,955.4,4,359.0,271.9,543.7,4,185.5,914.1,1828.1,3395.6,17,6791.3,normal,0,0,0,1935.0,0,0,yok
339,a,Schnellware,124.8,334.6,1,2.68,4,94.6,2958.8,5917.3,4,60.6,3330.6,6661.2,4,94.6,231.0,462.1,4,206.2,135.2,270.2,4,60.6,584.9,1169.6,2727.6,12,5455.2,normal,0,1,0,1932.0,0,1,fire_riski
340,a,Schnellware,156.5,469.5,1,3.0,4,166.7,3506.1,7012.5,4,120.2,3923.7,7848.0,4,166.7,306.4,612.7,4,301.4,151.5,303.0,4,120.2,724.1,1448.2,3199.8,11,6399.8,normal,0,0,0,2448.6,0,0,yok
341,a,Nordmann,133.7,89.3,1,0.67,1,0.0,3171.1,6341.9,1,0.0,3567.6,7135.3,1,0.0,553.7,1107.4,1,80.5,347.1,693.9,1,0.0,950.6,1900.8,2617.1,17,5234.5,kritik,1,0,0,1458.6,0,1,kritik_stok
342,d,Rheinland,271.9,326.8,2,1.2,3,42.2,6675.8,13351.3,1,0.0,7394.6,14789.0,3,42.2,1641.2,3282.5,3,204.5,1198.2,2396.3,1,0.0,2360.2,4720.2,5034.4,8,10068.8,kritik,1,0,1,4474.2,1,1,kritik_stok|belirsiz|yuksek_tutar
343,d,Nordmann,172.2,516.7,1,3.0,4,164.5,4156.7,8313.6,4,109.7,4678.2,9356.5,4,164.5,532.0,1064.0,4,335.7,279.5,559.0,4,109.7,1053.6,2106.9,3624.9,17,7249.6,normal,0,1,0,2049.0,0,1,fire_riski
344,a,Schnellware,201.4,57.2,1,0.28,1,0.0,5155.0,10309.9,1,0.0,5903.6,11807.6,1,0.0,446.7,893.0,1,154.1,137.8,275.5,1,0.0,1195.4,2390.7,4708.4,12,9416.9,kritik,1,0,0,3350.4,0,1,kritik_stok
345,a,Rheinland,110.9,114.1,2,1.03,3,26.8,2577.4,5155.1,3,11.8,2861.8,5723.3,3,59.7,616.5,1233.0,3,152.8,472.9,945.7,3,11.8,867.8,1735.4,1993.8,8,3724.7,yuksek,0,0,0,1713.0,0,0,yok
346,a,Nordmann,164.3,108.4,2,0.66,1,0.0,4268.4,8536.7,1,0.0,4805.3,9610.6,1,0.0,778.8,1557.4,1,115.1,491.0,982.1,1,0.0,1315.8,2631.3,3489.6,17,6979.3,kritik,1,0,0,1879.2,0,1,kritik_stok
347,d,Rheinland,116.0,43.6,2,0.38,1,0.0,3069.8,6139.8,1,0.0,3506.7,7013.4,1,0.0,851.1,1702.4,1,48.2,565.6,1131.5,1,0.0,1287.9,2576.0,2218.8,8,4437.4,kritik,1,0,0,2001.6,0,1,kritik_stok
348,a,Schnellware,212.1,526.1,1,2.48,4,103.2,4874.9,9749.8,4,28.9,5556.3,11112.6,4,103.2,355.0,710.1,4,338.6,204.5,409.1,4,28.9,991.6,1983.2,4519.7,12,9039.7,normal,0,1,0,3180.6,0,1,fire_riski
349,c,Rheinland,199.7,39.9,2,0.2,1,0.0,5156.9,10313.9,1,0.0,5700.8,11401.5,1,0.0,1397.7,2795.3,1,64.2,1033.0,2066.0,1,0.0,1941.6,3882.9,3759.3,8,7518.6,kritik,1,0,0,3340.8,0,1,kritik_stok
350,d,Rheinland,169.6,290.0,2,1.71,3,121.8,4069.9,8139.5,3,92.9,4578.7,9157.0,3,135.2,1017.1,2034.4,3,265.1,739.8,1479.3,3,92.9,1512.6,3025.2,3065.9,8,6024.7,yuksek,0,0,0,2724.6,0,0,yok
351,a,ExpressLog,146.1,438.3,1,3.0,4,156.2,3294.2,6588.1,4,115.9,3691.2,7382.3,4,156.2,195.5,391.0,0,191.5,0.0,0.0,4,115.9,592.1,1185.2,3098.4,22,6197.1,normal,0,0,0,1271.4,0,0,yok
352,d,Schnellware,163.7,461.8,1,2.82,4,135.4,3680.0,7360.0,4,88.9,4150.0,8299.8,4,135.4,301.3,602.3,4,281.9,169.2,338.4,4,88.9,749.5,1498.8,3378.9,11,6757.7,normal,0,0,0,2340.6,0,0,yok
353,b,Schnellware,134.5,123.3,1,0.92,1,0.0,4356.0,8711.7,1,0.0,5303.8,10607.7,1,0.0,493.8,987.4,2,257.8,160.5,321.1,1,0.0,1441.7,2883.4,3862.1,12,7724.3,kritik,1,0,1,2788.8,0,1,kritik_stok|belirsiz
354,d,Nordmann,203.4,224.7,2,1.1,3,9.4,4617.7,9235.4,1,0.0,5220.3,10440.3,3,9.4,732.9,1465.6,3,166.2,454.2,908.3,1,0.0,1335.2,2670.4,3884.9,17,7769.8,kritik,1,0,1,2356.8,0,1,kritik_stok|belirsiz
355,a,Schnellware,222.2,500.8,3,2.25,4,95.7,4952.6,9905.1,4,39.0,5535.4,11070.7,4,95.7,311.2,622.5,4,275.7,164.5,329.1,4,39.0,863.6,1727.1,4641.4,12,9282.6,normal,0,0,0,3349.2,0,0,yok
356,d,Rheinland,138.1,107.2,2,0.78,1,0.0,3595.0,7190.0,1,0.0,4093.8,8187.4,1,0.0,926.2,1852.3,1,70.0,620.7,1241.5,1,0.0,1424.9,2849.7,2669.0,8,5337.7,kritik,1,0,0,2380.2,0,1,kritik_stok
357,a,Schnellware,187.4,495.5,1,2.64,4,137.4,4118.3,8236.9,4,84.3,4627.8,9255.1,4,137.4,350.7,701.6,4,302.1,180.0,360.3,4,84.3,830.0,1660.1,3767.6,12,7535.3,normal,0,0,0,2877.6,0,0,yok
358,a,Schnellware,250.3,85.5,1,0.34,1,0.0,5762.6,11525.4,1,0.0,6438.4,12876.6,1,0.0,398.1,796.7,1,144.5,159.8,319.6,1,0.0,1074.1,2147.9,5364.3,12,10728.7,kritik,1,0,0,3759.6,0,1,kritik_stok
359,d,Rheinland,168.2,48.7,2,0.29,1,0.0,4046.3,8092.5,1,0.0,4533.8,9067.6,1,0.0,1095.6,2191.3,1,43.9,776.7,1553.4,1,0.0,1583.1,3166.3,2950.4,8,5901.2,kritik,1,0,0,2632.2,0,1,kritik_stok
360,a,Schnellware,167.9,265.9,1,1.58,3,0.0,3784.8,7569.2,3,0.0,4243.5,8486.9,4,0.0,177.7,355.1,11,97.4,29.6,59.2,4,0.0,614.1,1227.9,3607.0,12,7214.1,yuksek,0,0,0,2604.0,0,0,yok
361,c,Schnellware,151.1,359.9,1,2.38,4,87.4,3395.1,6790.3,4,42.8,3861.3,7722.9,4,87.4,257.5,515.0,4,226.2,134.7,269.4,4,42.8,698.1,1396.2,3137.7,12,6275.3,normal,0,1,0,2334.6,0,1,fire_riski
362,c,Rheinland,228.6,176.5,2,0.77,1,0.0,5485.1,10969.9,1,0.0,6153.7,12307.0,1,23.7,1342.2,2684.1,1,175.4,981.5,1963.0,1,0.0,1986.9,3973.8,4166.7,8,8143.6,kritik,1,0,0,3639.6,0,1,kritik_stok
363,a,Rheinland,174.3,146.7,2,0.84,1,0.0,4139.8,8279.7,1,0.0,4643.8,9286.8,1,30.9,1016.8,2033.6,1,136.8,737.1,1473.9,1,0.0,1489.5,2978.8,3154.2,8,6060.7,kritik,1,0,0,2755.8,0,1,kritik_stok
364,a,Nordmann,106.6,70.6,1,0.66,1,0.0,3055.5,6110.7,1,0.0,3533.8,7067.6,1,0.0,572.8,1145.9,1,96.1,324.1,648.3,1,0.0,1051.4,2102.7,2482.3,17,4964.8,kritik,1,0,0,1311.0,0,1,kritik_stok
365,c,Schnellware,131.4,266.0,1,2.02,4,18.2,2969.2,5938.4,3,0.0,3397.4,6794.6,4,18.2,174.4,348.7,4,143.8,63.5,127.1,4,0.0,577.7,1155.3,2794.9,12,5589.7,yuksek,0,0,0,2068.2,0,0,yok
366,d,Schnellware,145.1,383.0,1,2.64,4,147.3,3348.5,6697.1,4,104.7,3818.7,7637.6,4,147.3,337.0,674.1,4,284.6,149.3,298.7,4,104.7,807.2,1614.6,3011.4,11,6023.0,normal,0,0,0,2304.0,0,0,yok
367,d,ExpressLog,125.8,149.0,1,1.18,3,0.0,3007.2,6014.3,3,0.0,3442.4,6884.8,3,0.0,201.4,403.3,0,0.0,0.0,0.0,3,0.0,613.9,1227.8,2805.5,23,5611.0,yuksek,0,0,0,1213.2,0,0,yok
368,d,Schnellware,229.3,122.6,1,0.53,1,0.0,5796.3,11592.7,1,0.0,6638.7,13277.8,1,0.0,479.3,958.7,1,160.3,101.8,203.4,1,0.0,1322.0,2643.7,5317.0,12,10634.0,kritik,1,0,0,3805.2,0,1,kritik_stok
369,d,Schnellware,167.9,443.0,3,2.64,4,130.2,3682.6,7365.3,4,85.2,4137.7,8275.5,4,130.2,287.0,573.8,4,279.4,160.8,321.7,4,85.2,725.8,1451.8,3395.9,11,6791.5,normal,0,0,0,2365.8,0,0,yok
370,d,Schnellware,185.3,521.0,1,2.81,4,148.7,4219.2,8438.4,4,91.6,4743.6,9486.8,4,148.7,332.1,664.1,4,325.0,179.2,358.4,4,91.6,834.8,1669.5,3887.1,11,7774.3,normal,0,0,0,2907.6,0,0,yok
371,d,Schnellware,166.6,287.2,1,1.72,3,0.0,3747.4,7494.7,3,0.0,4278.8,8556.9,4,0.0,192.5,385.1,4,133.2,37.6,75.4,4,0.0,698.5,1397.2,3554.9,12,7109.6,yuksek,0,0,0,2593.8,0,0,yok
372,d,Nordmann,212.4,257.7,2,1.21,3,40.8,5097.3,10194.6,3,5.4,5698.5,11396.9,3,40.8,825.5,1651.2,3,208.3,525.7,1051.4,3,5.4,1426.8,2853.5,4271.7,17,8543.4,yuksek,0,0,0,2437.8,0,0,yok
373,d,Nordmann,110.1,148.8,1,1.35,3,31.6,2673.4,5346.6,3,11.7,3022.7,6045.5,3,31.6,438.4,876.8,3,126.9,269.1,538.3,3,11.7,788.0,1575.7,2234.9,17,4469.8,yuksek,0,0,0,1419.6,0,0,yok
374,a,Rheinland,168.7,167.7,2,0.99,3,42.8,4045.9,8092.2,3,17.5,4495.8,8991.7,3,97.8,953.9,1908.1,3,273.7,753.5,1506.9,3,21.2,1352.5,2705.1,3147.1,8,5854.1,yuksek,0,0,0,2681.4,0,0,yok
375,a,Schnellware,210.1,468.6,1,2.23,4,136.0,4958.6,9917.3,4,71.0,5691.3,11382.2,4,136.0,519.4,1039.0,4,348.8,226.7,453.2,4,71.0,1218.7,2437.4,4439.2,12,8878.3,normal,0,1,0,3401.4,0,1,fire_riski
376,a,Schnellware,204.6,613.7,1,3.0,4,257.7,4486.8,8973.4,4,209.8,5002.0,10004.4,4,257.7,397.6,795.1,4,420.5,194.6,389.4,4,209.8,913.0,1826.1,4089.2,11,8178.3,normal,0,1,0,3113.4,0,1,fire_riski
377,a,Schnellware,187.7,233.3,1,1.24,3,0.0,4553.9,9107.5,3,0.0,5218.9,10437.8,4,0.0,224.0,448.2,11,131.1,41.6,83.3,4,0.0,854.7,1709.1,4329.7,12,8659.3,yuksek,0,0,0,3029.4,0,0,yok
378,a,Schnellware,150.9,63.4,1,0.42,1,0.0,4051.2,8102.4,1,0.0,4649.4,9298.3,1,0.0,312.2,624.5,1,130.1,126.4,252.7,1,0.0,910.3,1820.4,3739.1,12,7477.9,kritik,1,0,0,2530.8,0,1,kritik_stok
379,d,Schnellware,94.0,249.7,1,2.66,4,70.4,2184.0,4368.3,4,42.5,2451.8,4903.8,4,70.4,181.5,363.3,4,154.8,94.0,188.0,4,42.5,433.4,867.0,2002.4,12,4005.0,normal,0,0,0,1519.2,0,0,yok
380,a,Schnellware,351.5,317.4,3,0.9,1,0.0,8118.2,16236.1,1,0.0,9142.3,18284.8,1,0.0,376.8,753.4,11,216.1,66.6,133.3,1,0.0,1401.0,2802.0,7741.4,12,15482.7,kritik,1,0,1,5422.8,1,1,kritik_stok|belirsiz|yuksek_tutar
381,a,Schnellware,215.2,354.6,1,1.65,3,0.0,4971.2,9942.1,3,0.0,5541.7,11083.7,4,0.0,215.3,430.8,11,149.0,36.5,73.1,4,0.0,756.6,1512.8,4755.6,12,9511.3,yuksek,0,0,0,3423.6,0,0,yok
382,c,Rheinland,191.3,136.4,2,0.71,1,0.0,4519.1,9037.9,1,0.0,5119.0,10237.8,1,42.0,1120.6,2241.1,3,191.2,822.7,1645.5,1,0.0,1678.7,3357.0,3440.3,8,6544.8,kritik,1,0,1,2992.8,0,1,kritik_stok|belirsiz
383,a,Rheinland,427.1,85.4,2,0.2,1,0.0,10252.7,20505.8,1,0.0,11168.6,22337.3,1,0.0,2665.0,5330.4,1,96.8,2061.4,4122.9,1,0.0,3581.0,7162.0,7587.8,8,15175.4,kritik,1,0,0,6646.2,1,1,kritik_stok|yuksek_tutar
