magaza,magaza_tipi,urun_yelpazesi,tipik_gunluk_talep_adet,stok_toplam_adet,yas0_adet,yas1_adet,yas2_adet,en_eski_yas,kalan_raf_omru_gun,stok_gun_karsiligi,tedarikci,profil,referans_gun
272,a,a,146.6,331.7,277.7,0.0,54.0,2,1,2.26,Schnellware,normal,2015-07-03
273,a,c,168.7,304.5,260.2,0.0,44.3,2,1,1.81,Schnellware,normal,2015-07-03
274,b,b,94.1,210.2,182.9,0.0,27.3,2,1,2.23,Schnellware,normal,2015-07-03
275,d,a,183.4,309.7,309.7,0.0,0.0,0,3,1.69,Schnellware,yavas_devir,2015-07-03
276,a,a,97.9,237.4,237.4,0.0,0.0,0,3,2.43,Schnellware,normal,2015-07-03
277,d,c,156.9,122.7,107.4,0.0,15.3,2,1,0.78,Schnellware,normal,2015-07-03
278,a,c,172.9,114.9,61.8,37.7,15.4,2,1,0.66,Nordmann,normal,2015-07-03
279,d,c,207.5,570.0,570.0,0.0,0.0,0,3,2.75,Schnellware,yavas_devir,2015-07-03
280,d,c,153.0,459.1,280.0,114.7,64.4,2,1,3.0,ExpressLog,normal,2015-07-03
281,d,c,142.8,152.7,0.0,152.7,0.0,1,2,1.07,Rheinland,normal,2015-07-03
282,a,a,106.8,21.4,0.0,0.0,21.4,2,1,0.2,Schnellware,normal,2015-07-03
283,a,a,173.2,332.5,284.1,0.0,48.4,2,1,1.92,Schnellware,normal,2015-07-03
284,d,a,130.4,391.2,306.1,0.0,85.1,2,1,3.0,Schnellware,yavas_devir,2015-07-03
285,a,a,124.7,63.9,35.5,20.7,7.7,2,1,0.51,ExpressLog,normal,2015-07-03
286,a,a,114.4,182.2,122.6,0.0,59.6,2,1,1.59,Schnellware,yavas_devir,2015-07-03
287,c,a,200.1,516.9,454.5,0.0,62.4,2,1,2.58,Schnellware,normal,2015-07-03
288,d,a,135.3,405.9,296.0,109.9,0.0,1,2,3.0,ExpressLog,normal,2015-07-03
289,d,a,154.4,260.5,158.2,0.0,102.3,2,1,1.69,ExpressLog,yavas_devir,2015-07-03
290,a,a,166.5,329.8,277.8,0.0,52.0,2,1,1.98,Schnellware,normal,2015-07-03
291,d,a,190.7,105.0,0.0,0.0,105.0,2,1,0.55,Schnellware,yavas_devir,2015-07-03
292,a,a,137.1,411.2,255.6,0.0,155.6,2,1,3.0,Schnellware,yavas_devir,2015-07-03
293,c,c,151.6,336.0,336.0,0.0,0.0,0,3,2.22,Schnellware,normal,2015-07-03
294,a,a,136.8,77.9,70.6,0.0,7.3,2,1,0.57,Schnellware,normal,2015-07-03
295,a,a,126.4,83.8,0.0,83.8,0.0,1,2,0.66,Rheinland,normal,2015-07-03
296,a,a,167.9,503.7,318.5,137.7,47.5,2,1,3.0,ExpressLog,normal,2015-07-03
297,a,a,168.2,406.9,348.5,0.0,58.4,2,1,2.42,Schnellware,normal,2015-07-03
298,d,a,204.2,104.9,0.0,104.9,0.0,1,2,0.51,Rheinland,normal,2015-07-03
299,d,c,143.5,28.7,0.0,0.0,28.7,2,1,0.2,Schnellware,yavas_devir,2015-07-03
300,a,c,171.7,507.2,295.7,161.6,49.9,2,1,2.95,Nordmann,normal,2015-07-03
301,a,c,135.7,259.3,0.0,259.3,0.0,1,2,1.91,Rheinland,yavas_devir,2015-07-03
302,d,c,89.5,50.3,43.1,0.0,7.2,2,1,0.56,Nordmann,normal,2015-07-03
303,a,a,148.6,445.9,400.8,0.0,45.1,2,1,3.0,ExpressLog,normal,2015-07-03
304,a,a,171.7,169.4,127.8,0.0,41.6,2,1,0.99,Schnellware,normal,2015-07-03
305,c,c,125.5,194.1,194.1,0.0,0.0,0,3,1.55,Schnellware,normal,2015-07-03
306,a,a,105.1,65.4,56.3,0.0,9.1,2,1,0.62,Schnellware,normal,2015-07-03
307,a,a,62.6,82.4,73.6,0.0,8.8,2,1,1.32,Schnellware,normal,2015-07-03
308,a,a,226.1,299.6,0.0,199.3,100.3,2,1,1.33,ExpressLog,normal,2015-07-03
309,d,a,167.7,503.1,436.1,0.0,67.0,2,1,3.0,Schnellware,normal,2015-07-03
310,a,c,183.8,527.9,292.9,150.8,84.2,2,1,2.87,Nordmann,normal,2015-07-03
311,a,c,161.4,484.1,362.9,0.0,121.2,2,1,3.0,Schnellware,yavas_devir,2015-07-03
312,d,a,133.9,303.7,303.7,0.0,0.0,0,3,2.27,Schnellware,normal,2015-07-03
313,d,c,168.8,405.7,405.7,0.0,0.0,0,3,2.4,Schnellware,normal,2015-07-03
314,a,a,123.7,142.4,0.0,142.4,0.0,1,2,1.15,Rheinland,normal,2015-07-03
315,a,c,101.8,101.5,0.0,101.5,0.0,1,2,1.0,Rheinland,normal,2015-07-03
316,d,a,238.0,255.9,211.4,0.0,44.5,2,1,1.08,Schnellware,normal,2015-07-03
317,d,a,130.4,257.5,222.4,0.0,35.1,2,1,1.97,Schnellware,normal,2015-07-03
318,d,c,181.1,68.0,0.0,68.0,0.0,1,2,0.38,Rheinland,normal,2015-07-03
319,a,c,190.3,570.9,415.5,0.0,155.4,2,1,3.0,Schnellware,yavas_devir,2015-07-03
320,a,c,361.3,221.3,174.9,46.4,0.0,1,2,0.61,ExpressLog,normal,2015-07-03
321,c,c,144.1,369.2,316.5,0.0,52.7,2,1,2.56,Schnellware,normal,2015-07-03
322,a,a,113.8,156.9,132.2,0.0,24.7,2,1,1.38,Schnellware,normal,2015-07-03
323,d,c,179.5,433.6,373.3,0.0,60.3,2,1,2.41,Schnellware,normal,2015-07-03
324,a,a,129.5,360.9,299.4,0.0,61.5,2,1,2.79,Schnellware,normal,2015-07-03
325,a,c,157.1,265.0,265.0,0.0,0.0,0,3,1.69,Schnellware,normal,2015-07-03
326,d,a,120.2,320.6,268.9,0.0,51.7,2,1,2.67,Schnellware,normal,2015-07-03
327,c,c,187.6,116.7,71.8,34.0,10.9,2,1,0.62,ExpressLog,normal,2015-07-03
328,a,a,106.4,31.0,0.0,0.0,31.0,2,1,0.29,Schnellware,normal,2015-07-03
329,a,a,165.0,33.0,0.0,0.0,33.0,2,1,0.2,Schnellware,normal,2015-07-03
330,a,c,101.1,71.2,71.2,0.0,0.0,0,3,0.7,Schnellware,normal,2015-07-03
331,a,c,149.0,404.1,335.6,0.0,68.5,2,1,2.71,Schnellware,normal,2015-07-03
332,a,a,86.9,109.5,0.0,109.5,0.0,1,2,1.26,Rheinland,yavas_devir,2015-07-03
333,a,c,238.6,151.8,117.0,0.0,34.8,2,1,0.64,Schnellware,normal,2015-07-03
334,d,c,133.0,32.3,0.0,32.3,0.0,1,2,0.24,Rheinland,yavas_devir,2015-07-03
335,b,a,310.4,548.5,548.5,0.0,0.0,0,3,1.77,Schnellware,normal,2015-07-03
336,a,a,339.0,273.4,130.6,85.5,57.3,2,1,0.81,ExpressLog,yavas_devir,2015-07-03
337,d,c,122.2,118.3,100.9,0.0,17.4,2,1,0.97,Schnellware,normal,2015-07-03
338,a,c,176.0,528.0,344.5,121.5,62.0,2,1,3.0,Nordmann,normal,2015-07-03
339,a,c,124.8,334.6,275.8,0.0,58.8,2,1,2.68,Schnellware,normal,2015-07-03
340,a,c,156.5,469.5,407.7,0.0,61.8,2,1,3.0,Schnellware,normal,2015-07-03
341,a,a,133.7,89.3,54.8,26.1,8.4,2,1,0.67,Nordmann,normal,2015-07-03
342,d,c,271.9,326.8,0.0,326.8,0.0,1,2,1.2,Rheinland,normal,2015-07-03
343,d,a,172.2,516.7,250.1,170.5,96.1,2,1,3.0,Nordmann,yavas_devir,2015-07-03
344,a,c,201.4,57.2,0.0,0.0,57.2,2,1,0.28,Schnellware,normal,2015-07-03
345,a,a,110.9,114.1,0.0,114.1,0.0,1,2,1.03,Rheinland,normal,2015-07-03
346,a,c,164.3,108.4,83.2,25.2,0.0,1,2,0.66,Nordmann,normal,2015-07-03
347,d,c,116.0,43.6,0.0,43.6,0.0,1,2,0.38,Rheinland,yavas_devir,2015-07-03
348,a,a,212.1,526.1,432.4,0.0,93.7,2,1,2.48,Schnellware,normal,2015-07-03
349,c,c,199.7,39.9,0.0,39.9,0.0,1,2,0.2,Rheinland,normal,2015-07-03
350,d,a,169.6,290.0,0.0,290.0,0.0,1,2,1.71,Rheinland,yavas_devir,2015-07-03
351,a,a,146.1,438.3,236.7,159.0,42.6,2,1,3.0,ExpressLog,normal,2015-07-03
352,d,c,163.7,461.8,404.9,0.0,56.9,2,1,2.82,Schnellware,normal,2015-07-03
353,b,b,134.5,123.3,105.7,0.0,17.6,2,1,0.92,Schnellware,normal,2015-07-03
354,d,c,203.4,224.7,0.0,224.7,0.0,1,2,1.1,Nordmann,normal,2015-07-03
355,a,c,222.2,500.8,500.8,0.0,0.0,0,3,2.25,Schnellware,normal,2015-07-03
356,d,c,138.1,107.2,0.0,107.2,0.0,1,2,0.78,Rheinland,normal,2015-07-03
357,a,a,187.4,495.5,434.3,0.0,61.2,2,1,2.64,Schnellware,normal,2015-07-03
358,a,a,250.3,85.5,0.0,0.0,85.5,2,1,0.34,Schnellware,normal,2015-07-03
359,d,c,168.2,48.7,0.0,48.7,0.0,1,2,0.29,Rheinland,normal,2015-07-03
360,a,a,167.9,265.9,221.2,0.0,44.7,2,1,1.58,Schnellware,normal,2015-07-03
361,c,c,151.1,359.9,233.4,0.0,126.5,2,1,2.38,Schnellware,yavas_devir,2015-07-03
362,c,c,228.6,176.5,0.0,176.5,0.0,1,2,0.77,Rheinland,normal,2015-07-03
363,a,a,174.3,146.7,0.0,146.7,0.0,1,2,0.84,Rheinland,normal,2015-07-03
364,a,c,106.6,70.6,40.5,21.1,9.0,2,1,0.66,Nordmann,normal,2015-07-03
365,c,a,131.4,266.0,230.8,0.0,35.2,2,1,2.02,Schnellware,normal,2015-07-03
366,d,c,145.1,383.0,334.1,0.0,48.9,2,1,2.64,Schnellware,normal,2015-07-03
367,d,c,125.8,149.0,102.7,29.5,16.8,2,1,1.18,ExpressLog,normal,2015-07-03
368,d,c,229.3,122.6,103.4,0.0,19.2,2,1,0.53,Schnellware,normal,2015-07-03
369,d,c,167.9,443.0,443.0,0.0,0.0,0,3,2.64,Schnellware,normal,2015-07-03
370,d,a,185.3,521.0,454.8,0.0,66.2,2,1,2.81,Schnellware,normal,2015-07-03
371,d,c,166.6,287.2,231.5,0.0,55.7,2,1,1.72,Schnellware,normal,2015-07-03
372,d,c,212.4,257.7,0.0,257.7,0.0,1,2,1.21,Nordmann,normal,2015-07-03
373,d,c,110.1,148.8,0.0,115.5,33.3,2,1,1.35,Nordmann,normal,2015-07-03
374,a,a,168.7,167.7,0.0,167.7,0.0,1,2,0.99,Rheinland,normal,2015-07-03
375,a,c,210.1,468.6,383.1,0.0,85.5,2,1,2.23,Schnellware,normal,2015-07-03
376,a,a,204.6,613.7,434.9,0.0,178.8,2,1,3.0,Schnellware,yavas_devir,2015-07-03
377,a,c,187.7,233.3,199.1,0.0,34.2,2,1,1.24,Schnellware,normal,2015-07-03
378,a,c,150.9,63.4,51.0,0.0,12.4,2,1,0.42,Schnellware,normal,2015-07-03
379,d,a,94.0,249.7,220.8,0.0,28.9,2,1,2.66,Schnellware,normal,2015-07-03
380,a,a,351.5,317.4,317.4,0.0,0.0,0,3,0.9,Schnellware,yavas_devir,2015-07-03
381,a,a,215.2,354.6,279.9,0.0,74.7,2,1,1.65,Schnellware,normal,2015-07-03
382,c,c,191.3,136.4,0.0,136.4,0.0,1,2,0.71,Rheinland,normal,2015-07-03
383,a,c,427.1,85.4,0.0,85.4,0.0,1,2,0.2,Rheinland,normal,2015-07-03
384,a,c,209.0,82.2,64.7,0.0,17.5,2,1,0.39,Schnellware,normal,2015-07-03
385,d,a,176.8,90.7,90.7,0.0,0.0,0,3,0.51,Schnellware,normal,2015-07-03
386,d,c,194.1,152.4,82.6,46.5,23.3,2,1,0.79,Nordmann,normal,2015-07-03
387,c,a,224.3,203.3,0.0,203.3,0.0,1,2,0.91,Rheinland,normal,2015-07-03
388,a,a,249.3,456.1,456.1,0.0,0.0,0,3,1.83,Nordmann,normal,2015-07-03
389,a,c,250.5,562.7,562.7,0.0,0.0,0,3,2.25,Schnellware,normal,2015-07-03
390,a,c,281.1,158.0,88.8,47.1,22.1,2,1,0.56,Nordmann,normal,2015-07-03
391,a,a,135.3,91.3,56.8,0.0,34.5,2,1,0.67,Schnellware,yavas_devir,2015-07-03
392,a,a,173.3,319.5,262.1,0.0,57.4,2,1,1.84,Schnellware,normal,2015-07-03
393,d,c,142.5,160.2,160.2,0.0,0.0,0,3,1.12,Schnellware,normal,2015-07-03
394,d,a,201.9,605.6,348.7,0.0,256.9,2,1,3.0,Schnellware,yavas_devir,2015-07-03
395,a,a,96.4,262.4,213.1,0.0,49.3,2,1,2.72,Schnellware,normal,2015-07-03
396,a,c,240.4,459.3,358.6,0.0,100.7,2,1,1.91,Schnellware,normal,2015-07-03
397,a,c,132.6,169.2,0.0,169.2,0.0,1,2,1.28,Nordmann,normal,2015-07-03
398,c,c,132.5,48.6,0.0,0.0,48.6,2,1,0.37,Schnellware,normal,2015-07-03
399,a,a,134.4,385.7,322.5,0.0,63.2,2,1,2.87,Schnellware,normal,2015-07-03
400,a,a,208.4,164.8,144.5,0.0,20.3,2,1,0.79,Schnellware,normal,2015-07-03
401,a,c,162.4,194.6,168.3,0.0,26.3,2,1,1.2,Schnellware,normal,2015-07-03
402,c,c,141.4,149.6,0.0,0.0,149.6,2,1,1.06,Schnellware,yavas_devir,2015-07-03
403,a,a,180.4,371.2,294.5,0.0,76.7,2,1,2.06,Schnellware,normal,2015-07-03
404,a,c,113.3,97.9,97.9,0.0,0.0,0,3,0.86,Schnellware,yavas_devir,2015-07-03
405,a,a,106.2,269.3,0.0,175.7,93.6,2,1,2.53,Nordmann,yavas_devir,2015-07-03
406,d,c,144.4,182.1,152.0,0.0,30.1,2,1,1.26,ExpressLog,normal,2015-07-03
407,a,a,93.3,165.6,136.4,0.0,29.2,2,1,1.77,Schnellware,normal,2015-07-03
408,c,a,114.5,98.8,0.0,98.8,0.0,1,2,0.86,Rheinland,normal,2015-07-03
409,d,c,133.4,84.0,58.3,25.7,0.0,1,2,0.63,Nordmann,normal,2015-07-03
410,c,a,153.7,78.5,45.2,33.3,0.0,1,2,0.51,ExpressLog,normal,2015-07-03
411,d,c,220.1,44.0,0.0,44.0,0.0,1,2,0.2,Rheinland,normal,2015-07-03
412,d,c,220.3,86.1,0.0,48.4,37.7,2,1,0.39,Nordmann,yavas_devir,2015-07-03
413,a,c,171.0,206.9,130.7,59.4,16.8,2,1,1.21,ExpressLog,normal,2015-07-03
414,d,c,156.1,468.2,339.0,129.2,0.0,1,2,3.0,Nordmann,normal,2015-07-03
415,d,c,152.1,128.2,128.2,0.0,0.0,0,3,0.84,Schnellware,normal,2015-07-03
416,a,c,268.6,434.7,434.7,0.0,0.0,0,3,1.62,Schnellware,normal,2015-07-03
417,a,c,185.4,245.4,0.0,0.0,245.4,2,1,1.32,Schnellware,yavas_devir,2015-07-03
418,a,a,123.7,371.0,326.5,0.0,44.5,2,1,3.0,Schnellware,normal,2015-07-03
419,c,a,129.0,220.5,177.7,0.0,42.8,2,1,1.71,Schnellware,normal,2015-07-03
420,d,c,108.8,326.3,292.6,0.0,33.7,2,1,3.0,Schnellware,normal,2015-07-03
421,c,c,229.3,234.9,0.0,234.9,0.0,1,2,1.02,Rheinland,normal,2015-07-03
422,a,c,112.2,45.7,0.0,45.7,0.0,1,2,0.41,Rheinland,yavas_devir,2015-07-03
423,b,a,263.4,396.1,151.6,171.0,73.5,2,1,1.5,Nordmann,yavas_devir,2015-07-03
424,d,c,167.7,72.5,60.6,0.0,11.9,2,1,0.43,Schnellware,normal,2015-07-03
425,d,c,77.7,34.4,34.4,0.0,0.0,0,3,0.44,Schnellware,normal,2015-07-03
426,a,a,121.7,170.1,154.1,0.0,16.0,2,1,1.4,Nordmann,normal,2015-07-03
427,a,c,183.3,549.8,345.4,149.6,54.8,2,1,3.0,Nordmann,normal,2015-07-03
428,d,a,152.7,182.0,0.0,182.0,0.0,1,2,1.19,ExpressLog,normal,2015-07-03
429,d,c,128.9,36.6,0.0,26.3,10.3,2,1,0.28,Nordmann,normal,2015-07-03
430,d,c,210.3,631.0,417.9,143.8,69.3,2,1,3.0,Nordmann,normal,2015-07-03
431,d,c,232.3,162.7,117.2,0.0,45.5,2,1,0.7,Schnellware,yavas_devir,2015-07-03
432,a,a,265.9,719.6,629.2,0.0,90.4,2,1,2.71,Schnellware,normal,2015-07-03
433,a,c,123.2,212.2,212.2,0.0,0.0,0,3,1.72,Schnellware,normal,2015-07-03
434,a,a,240.9,48.2,0.0,48.2,0.0,1,2,0.2,Rheinland,normal,2015-07-03
435,a,a,79.2,115.8,0.0,82.7,33.1,2,1,1.46,ExpressLog,normal,2015-07-03
436,d,a,132.8,107.6,91.6,0.0,16.0,2,1,0.81,Schnellware,normal,2015-07-03
437,c,c,175.6,123.1,0.0,123.1,0.0,1,2,0.7,Rheinland,yavas_devir,2015-07-03
438,d,c,121.5,61.8,50.8,0.0,11.0,2,1,0.51,Schnellware,normal,2015-07-03
439,a,a,176.8,127.3,100.2,0.0,27.1,2,1,0.72,Schnellware,normal,2015-07-03
440,d,a,124.1,266.0,266.0,0.0,0.0,0,3,2.14,Schnellware,normal,2015-07-03
441,d,a,152.7,253.5,217.8,0.0,35.7,2,1,1.66,Schnellware,normal,2015-07-03
442,c,a,104.4,303.7,256.1,0.0,47.6,2,1,2.91,ExpressLog,normal,2015-07-03
443,d,a,126.2,63.0,0.0,0.0,63.0,2,1,0.5,Schnellware,normal,2015-07-03
444,c,a,295.4,684.4,684.4,0.0,0.0,0,3,2.32,Nordmann,yavas_devir,2015-07-03
445,a,a,207.8,186.4,0.0,186.4,0.0,1,2,0.9,Rheinland,yavas_devir,2015-07-03
446,a,a,116.4,66.0,39.1,0.0,26.9,2,1,0.57,Schnellware,yavas_devir,2015-07-03
447,a,c,130.6,40.2,0.0,0.0,40.2,2,1,0.31,Schnellware,normal,2015-07-03
448,a,c,204.4,330.4,204.9,75.4,50.1,2,1,1.62,Nordmann,normal,2015-07-03
449,a,c,273.8,665.6,574.9,0.0,90.7,2,1,2.43,Schnellware,normal,2015-07-03
450,c,a,212.2,354.7,0.0,271.2,83.5,2,1,1.67,ExpressLog,normal,2015-07-03
451,a,a,132.5,168.6,126.9,0.0,41.7,2,1,1.27,Schnellware,normal,2015-07-03
452,a,c,122.6,100.3,0.0,100.3,0.0,1,2,0.82,Rheinland,normal,2015-07-03
453,a,c,178.2,347.2,292.5,0.0,54.7,2,1,1.95,Nordmann,normal,2015-07-03
454,a,a,130.9,384.7,343.0,0.0,41.7,2,1,2.94,Schnellware,normal,2015-07-03
455,d,c,176.8,351.9,301.7,0.0,50.2,2,1,1.99,Schnellware,normal,2015-07-03
456,a,c,150.1,181.7,0.0,113.4,68.3,2,1,1.21,ExpressLog,normal,2015-07-03
457,d,c,115.3,184.4,184.4,0.0,0.0,0,3,1.6,Schnellware,normal,2015-07-03
458,c,a,183.3,126.8,103.7,0.0,23.1,2,1,0.69,Schnellware,normal,2015-07-03
459,a,a,218.5,393.8,393.8,0.0,0.0,0,3,1.8,Schnellware,yavas_devir,2015-07-03
460,a,a,84.9,166.4,149.4,0.0,17.0,2,1,1.96,Schnellware,normal,2015-07-03
461,d,c,117.3,351.8,135.1,133.0,83.7,2,1,3.0,Nordmann,yavas_devir,2015-07-03
462,a,a,113.8,67.0,0.0,39.5,27.5,2,1,0.59,Nordmann,yavas_devir,2015-07-03
463,a,a,146.5,82.5,74.3,0.0,8.2,2,1,0.56,Schnellware,normal,2015-07-03
464,c,a,259.9,197.2,131.3,49.1,16.8,2,1,0.76,Nordmann,normal,2015-07-03
465,d,c,186.7,37.3,0.0,0.0,37.3,2,1,0.2,Schnellware,normal,2015-07-03
466,a,c,182.0,36.4,0.0,0.0,36.4,2,1,0.2,Schnellware,normal,2015-07-03
467,a,c,329.1,150.1,0.0,150.1,0.0,1,2,0.46,Rheinland,normal,2015-07-03
468,c,c,158.9,476.6,227.3,151.4,97.9,2,1,3.0,ExpressLog,yavas_devir,2015-07-03
469,c,c,289.2,828.7,693.5,0.0,135.2,2,1,2.87,Schnellware,normal,2015-07-03
470,a,c,319.8,183.6,183.6,0.0,0.0,0,3,0.57,Schnellware,normal,2015-07-03
471,d,a,173.9,521.6,333.8,0.0,187.8,2,1,3.0,Schnellware,yavas_devir,2015-07-03
472,c,c,127.3,176.3,109.5,47.9,18.9,2,1,1.38,Nordmann,normal,2015-07-03
473,a,a,84.8,133.2,82.7,0.0,50.5,2,1,1.57,Schnellware,yavas_devir,2015-07-03
474,c,a,180.4,382.1,382.1,0.0,0.0,0,3,2.12,Schnellware,yavas_devir,2015-07-03
475,a,a,157.2,117.6,0.0,117.6,0.0,1,2,0.75,Rheinland,normal,2015-07-03
476,d,a,135.2,174.7,143.3,0.0,31.4,2,1,1.29,Schnellware,normal,2015-07-03
477,d,a,150.6,428.8,355.9,0.0,72.9,2,1,2.85,Schnellware,normal,2015-07-03
478,d,c,163.9,65.0,54.3,0.0,10.7,2,1,0.4,Schnellware,normal,2015-07-03
479,a,a,270.4,65.9,0.0,0.0,65.9,2,1,0.24,Schnellware,normal,2015-07-03
480,a,a,117.1,351.1,211.3,0.0,139.8,2,1,3.0,Schnellware,yavas_devir,2015-07-03
481,c,c,121.7,365.2,167.7,135.6,61.9,2,1,3.0,Nordmann,yavas_devir,2015-07-03
482,c,a,201.6,255.3,0.0,255.3,0.0,1,2,1.27,Rheinland,normal,2015-07-03
483,a,c,111.3,92.0,0.0,92.0,0.0,1,2,0.83,Rheinland,normal,2015-07-03
484,a,c,187.0,199.1,0.0,199.1,0.0,1,2,1.06,ExpressLog,normal,2015-07-03
485,d,c,117.5,26.9,0.0,0.0,26.9,2,1,0.23,Schnellware,normal,2015-07-03
486,a,a,101.3,198.2,151.0,0.0,47.2,2,1,1.96,Schnellware,yavas_devir,2015-07-03
487,d,c,169.3,57.9,0.0,57.9,0.0,1,2,0.34,ExpressLog,normal,2015-07-03
488,a,c,89.6,228.8,186.9,0.0,41.9,2,1,2.55,Schnellware,normal,2015-07-03
489,a,a,165.3,77.3,0.0,77.3,0.0,1,2,0.47,Rheinland,yavas_devir,2015-07-03
490,a,a,203.7,611.2,422.8,188.4,0.0,1,2,3.0,Nordmann,normal,2015-07-03
491,d,c,162.8,447.6,385.1,0.0,62.5,2,1,2.75,Schnellware,normal,2015-07-03
492,a,a,190.3,441.0,343.9,0.0,97.1,2,1,2.32,Schnellware,normal,2015-07-03
493,d,c,199.3,39.9,0.0,0.0,39.9,2,1,0.2,Schnellware,normal,2015-07-03
494,b,a,186.3,378.1,378.1,0.0,0.0,0,3,2.03,Schnellware,normal,2015-07-03
495,d,a,123.0,168.0,144.9,0.0,23.1,2,1,1.37,Schnellware,normal,2015-07-03
496,d,c,187.4,562.3,489.3,0.0,73.0,2,1,3.0,Schnellware,normal,2015-07-03
497,a,c,221.7,174.2,74.7,45.8,53.7,2,1,0.79,Nordmann,yavas_devir,2015-07-03
498,a,a,173.0,228.9,190.0,0.0,38.9,2,1,1.32,ExpressLog,normal,2015-07-03
499,c,c,124.2,34.2,0.0,26.2,8.0,2,1,0.28,Nordmann,normal,2015-07-03
500,d,c,128.7,84.6,64.5,0.0,20.1,2,1,0.66,Schnellware,yavas_devir,2015-07-03
501,a,c,131.2,389.0,323.0,0.0,66.0,2,1,2.96,Schnellware,normal,2015-07-03
502,a,a,264.4,636.0,636.0,0.0,0.0,0,3,2.41,Schnellware,normal,2015-07-03
503,d,c,159.9,153.7,130.5,0.0,23.2,2,1,0.96,Schnellware,normal,2015-07-03
504,c,c,162.9,98.6,49.9,36.8,11.9,2,1,0.61,ExpressLog,normal,2015-07-03
505,a,a,114.8,56.6,50.5,0.0,6.1,2,1,0.49,Schnellware,normal,2015-07-03
506,a,a,183.0,36.6,0.0,0.0,36.6,2,1,0.2,Schnellware,normal,2015-07-03
507,a,c,204.8,570.5,570.5,0.0,0.0,0,3,2.79,Nordmann,yavas_devir,2015-07-03
508,a,c,161.1,310.4,263.7,0.0,46.7,2,1,1.93,Schnellware,normal,2015-07-03
509,a,a,146.5,175.4,109.1,0.0,66.3,2,1,1.2,Schnellware,yavas_devir,2015-07-03
510,a,c,196.2,588.7,438.7,0.0,150.0,2,1,3.0,Schnellware,yavas_devir,2015-07-03
511,a,a,139.8,28.0,0.0,28.0,0.0,1,2,0.2,Rheinland,normal,2015-07-03
512,b,b,132.5,232.3,152.1,60.5,19.7,2,1,1.75,Nordmann,normal,2015-07-03
513,a,a,448.8,1133.8,972.9,0.0,160.9,2,1,2.53,Schnellware,normal,2015-07-03
514,c,c,138.9,416.7,207.4,143.1,66.2,2,1,3.0,ExpressLog,yavas_devir,2015-07-03
515,d,c,220.7,285.4,0.0,198.7,86.7,2,1,1.29,Nordmann,normal,2015-07-03
516,a,c,140.1,420.4,211.8,154.1,54.5,2,1,3.0,Nordmann,normal,2015-07-03
517,a,c,140.5,413.3,265.9,0.0,147.4,2,1,2.94,Schnellware,yavas_devir,2015-07-03
518,d,c,140.1,108.9,108.9,0.0,0.0,0,3,0.78,Schnellware,normal,2015-07-03
519,c,c,127.8,383.5,172.2,129.4,81.9,2,1,3.0,Nordmann,yavas_devir,2015-07-03
520,a,c,93.2,235.0,205.5,0.0,29.5,2,1,2.52,Schnellware,normal,2015-07-03
521,d,a,125.2,33.5,0.0,33.5,0.0,1,2,0.27,Rheinland,normal,2015-07-03
522,d,c,199.6,167.9,89.5,54.3,24.1,2,1,0.84,Nordmann,normal,2015-07-03
523,c,c,382.9,990.4,821.7,0.0,168.7,2,1,2.59,Schnellware,normal,2015-07-03
524,a,c,174.0,351.1,208.0,108.9,34.2,2,1,2.02,Nordmann,normal,2015-07-03
525,d,c,254.2,733.4,392.2,228.2,113.0,2,1,2.89,ExpressLog,normal,2015-07-03
526,a,a,253.9,87.4,0.0,87.4,0.0,1,2,0.34,Rheinland,normal,2015-07-03
527,d,c,262.3,115.8,0.0,0.0,115.8,2,1,0.44,Schnellware,normal,2015-07-03
528,a,c,258.2,774.8,488.2,184.2,102.4,2,1,3.0,Nordmann,normal,2015-07-03
529,d,c,189.4,568.3,514.5,0.0,53.8,2,1,3.0,Schnellware,normal,2015-07-03
530,a,c,103.5,84.3,0.0,84.3,0.0,1,2,0.81,Rheinland,normal,2015-07-03
531,a,c,120.0,86.6,0.0,67.2,19.4,2,1,0.72,Nordmann,normal,2015-07-03
532,a,c,266.8,66.5,0.0,66.5,0.0,1,2,0.25,Rheinland,yavas_devir,2015-07-03
533,a,c,231.2,155.9,155.9,0.0,0.0,0,3,0.67,Schnellware,normal,2015-07-03
534,d,a,179.6,401.4,327.4,0.0,74.0,2,1,2.23,Schnellware,normal,2015-07-03
535,a,a,193.9,103.0,91.6,0.0,11.4,2,1,0.53,Schnellware,normal,2015-07-03
536,a,c,199.5,558.7,475.7,0.0,83.0,2,1,2.8,Schnellware,normal,2015-07-03
537,a,a,134.6,26.9,0.0,0.0,26.9,2,1,0.2,Schnellware,normal,2015-07-03
538,a,a,92.4,86.0,0.0,86.0,0.0,1,2,0.93,Rheinland,normal,2015-07-03
539,a,a,278.7,111.1,89.0,0.0,22.1,2,1,0.4,Schnellware,normal,2015-07-03
540,d,c,131.1,85.8,71.6,0.0,14.2,2,1,0.65,Nordmann,normal,2015-07-03
541,a,c,161.3,69.4,69.4,0.0,0.0,0,3,0.43,ExpressLog,normal,2015-07-03
542,a,a,152.7,82.7,63.5,0.0,19.2,2,1,0.54,Schnellware,normal,2015-07-03
543,c,a,63.7,51.2,0.0,51.2,0.0,1,2,0.8,Rheinland,normal,2015-07-03
